,Unnamed: 0.1,Unnamed: 0,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
60,60,4260.0,2165.778,-1493.84,2135.51,122.50192832998364,3911.707611491432,122.51605332548539,4037.785957453642,1805.19,33.64
61,61,4331.0,2201.661,-1378.82,2048.84,122.60937019057128,3779.3981715876407,122.65112192683416,3774.2534049159035,1804.81,12.09
62,62,4402.0,2237.412,-1265.38,1963.36,122.72392389299398,3648.965002901508,122.82790855043675,3649.0578754957974,1804.44,-9.24
63,63,4473.0,2273.197,-1150.27,1876.61,122.84689673065208,3516.5448836180094,122.3056618331142,3517.3560839588713,1804.06,-30.75
64,64,4544.0,2309.206,-1036.72,1791.05,122.98036182120036,3386.04713613086,121.26991881540874,3382.8875990597194,1803.69,-52.15
65,65,4615.0,2344.77,-922.95,1705.31,123.12251451291434,3255.2319810575714,123.1503744946677,3255.772988842939,1803.32,-73.45
66,66,4686.0,2380.544,-808.08,1618.75,123.27946045011026,3123.21426239059,123.28046874822195,2940.346284650139,1802.94,-95.03
67,67,4757.0,2416.007,-695.63,1534.01,123.45143910474536,2994.0313703099373,123.70920706011937,2903.0897440481317,1802.45,-116.39
68,68,4828.0,2452.019,-579.5,1446.51,123.63533948150342,2860.074345484746,123.16287907376854,2841.8247794005238,1801.74,-137.7
69,69,4899.0,2487.78,-466.03,1361.0,123.84539358801784,2729.5621146989856,123.77850894529392,2727.787898166951,1800.99,-159.24
70,70,4970.0,2523.34,-351.25,1274.51,124.06864045996588,2597.495838071738,123.87007868220944,2614.4631893371948,1800.43,-180.57
71,71,5041.0,2559.099,-237.8,1189.01,124.31171335374324,2466.6001875050606,124.62200770014246,2466.8560383645013,1799.57,-201.4
72,72,5112.0,2594.925,-123.11,1102.59,124.53433243581723,2312.965399762824,124.64521526297537,2312.154695087743,1782.28,-208.63
73,73,5183.0,2630.255,-8.83,1016.47,124.70126385290138,2152.7578442778927,125.02325701890005,2151.059010372854,1761.02,-209.09
74,74,5254.0,2666.37,104.97,930.72,124.88271307142418,1992.504276055637,124.8850136080381,1985.0507253154815,1739.47,-208.79
75,75,5325.0,2701.833,217.76,846.56,125.1133767399574,1834.121837828665,125.08115244643484,1832.2323212309418,1718.1,-208.42
76,76,5396.0,2737.989,335.05,761.34,125.44964852636843,1671.3814606187302,125.41657666738081,1671.6508582219483,1696.6,-208.04
77,77,5467.0,2773.092,448.91,678.62,125.8551845026998,1513.1152859250349,125.86770225072101,1514.0807305853998,1675.29,-207.67
78,78,5538.0,2809.183,565.74,593.74,126.3600954677425,1351.149484587105,126.77469207323426,1350.2715117583355,1653.83,-207.3
