,Unnamed: 0,x(t-8),y(t-8),x(t-7),y(t-7),x(t-6),y(t-6),x(t-5),y(t-5),x(t-4),y(t-4),x(t-3),y(t-3),x(t-2),y(t-2),x(t-1),y(t-1),x(t),y(t),x_predicted,y_predicted,Cat,Error,ScaledError,x_delta,y_delta
0,0,-0.0173525903373956,0.1531508415937423,0.0348285101354122,0.2690251469612121,0.1131809800863266,0.3875108063220978,0.1149577423930168,0.5649712085723877,0.1105642318725586,0.5537052750587463,0.3234153687953949,0.5004136562347412,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.2523545622825622,0.5895543694496155,0.0,86.35340118408203,0.1948210354592037,-0.03367546200752264,-0.473022997379303
1,1,0.0348285101354122,0.2690251469612121,0.1131809800863266,0.3875108063220978,0.1149577423930168,0.5649712085723877,0.1105642318725586,0.5537052750587463,0.3234153687953949,0.5004136562347412,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.2651986479759216,0.6374967694282532,0.0,99.03783416748048,2.681545827991668,-0.05874148011207586,-0.602286159992218
2,2,0.1131809800863266,0.3875108063220978,0.1149577423930168,0.5649712085723877,0.1105642318725586,0.5537052750587463,0.3234153687953949,0.5004136562347412,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.2876377999782562,0.7277728319168091,0.0,95.0447998046875,3.036179212232223,-0.06711825728416443,-0.6302874088287354
3,3,0.1149577423930168,0.5649712085723877,0.1105642318725586,0.5537052750587463,0.3234153687953949,0.5004136562347412,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.2644299566745758,0.7515780925750732,1.0,115.94076538085938,10.698958569011651,-0.1324065625667572,-0.7766600847244263
4,4,0.1105642318725586,0.5537052750587463,0.3234153687953949,0.5004136562347412,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.3302880525588989,1.6303114891052246,0.3146631419658661,0.953322410583496,1.0,106.77442932128906,5.010292050746202,-0.12761953473091125,-0.7205724716186525
5,5,0.3234153687953949,0.5004136562347412,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.3302880525588989,1.6303114891052246,0.5375180244445801,1.523666262626648,0.4040720462799072,1.092555046081543,0.0,95.58538055419922,3.5991614753959986,-0.18051648139953613,-0.6130853891372681
6,6,0.2304357290267944,0.738236665725708,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.3302880525588989,1.6303114891052246,0.5375180244445801,1.523666262626648,0.8163387775421143,1.886041641235352,0.5597569346427917,1.308714509010315,0.0,63.87213516235352,2.172172417379487,-0.1613345742225647,-0.38419628143310547
7,7,0.2431361228227615,0.8777096271514893,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.3302880525588989,1.6303114891052246,0.5375180244445801,1.523666262626648,0.8163387775421143,1.886041641235352,0.8668762445449829,1.61198890209198,0.6304224133491516,1.4237189292907717,0.0,55.18290710449219,6.874128869555856,-0.23383605480194092,-0.25133359432220437
8,8,-2.1001055240631104,1.7096508741378784,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.3302880525588989,1.6303114891052246,0.5375180244445801,1.523666262626648,0.8163387775421143,1.886041641235352,0.8668762445449829,1.61198890209198,0.7446373105049133,1.15635883808136,0.669192910194397,1.348455548286438,0.0,74.9009017944336,0.8299574247220888,-0.35891175270080566,-0.3091554641723633
9,9,0.3531270623207092,0.9471359252929688,0.3855656683444977,1.1758418083190918,0.4057489037513733,1.5928587913513184,0.3302880525588989,1.6303114891052246,0.5375180244445801,1.523666262626648,0.8163387775421143,1.886041641235352,0.8668762445449829,1.61198890209198,0.7446373105049133,1.15635883808136,1.17748761177063,1.363232135772705,0.610929012298584,1.571908712387085,0.0,92.29210662841795,2.159275625948225,-0.5957154035568237,-0.06825339794158936
