,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Xs_m,Ys_m
33,24.406,330.36,93.32,282.9721556663195,403.425718689327,282.53711282983676,397.9771689897962,-62.77,183.88,-67.635976784604,181.82409143929488
34,24.912,331.03,93.26,282.86889040934557,404.76682485104925,282.7710934321701,408.36985841545726,-63.57,183.41,-76.98488785587665,185.74225801341174
35,25.419,331.7,93.23,282.74504373562934,406.09562445315754,282.82001620109156,428.5215135843566,-64.39,182.82,-96.36600639750941,190.64148635463022
36,25.926,332.38,93.2,282.60828174054006,407.4044689249248,283.2117661481885,391.4149634021227,-65.2,182.13,-58.00140399701405,184.84771395905682
37,26.434,333.05,93.19,282.4857803118749,408.7469917932119,282.44514110389196,411.65721610443813,-66.03,181.56,-78.7730909787009,184.07538167435482
38,26.94,333.73,93.2,282.3610529035871,410.09685709597926,282.32972159800187,417.7000818279484,-66.86,180.99,-84.32331530844414,184.57755949435216
39,27.65,334.41,93.21,282.2385053743326,411.4507727541656,282.23956767508815,413.9049022454523,-67.69,180.43,-79.9868880461126,183.10537765635843
40,27.956,335.1,93.23,282.13470816148885,412.68091075309025,282.2120982784137,417.67215631450966,-68.36,179.98,-83.11206292145806,183.74308825995064
41,28.361,335.78,93.27,282.0109600077869,414.03411272502655,282.00028492140984,417.4565570088267,-69.19,179.43,-82.54776758601929,182.1904861858764
42,28.868,336.46000000000004,93.31,281.887450433852,415.4088045528164,281.9186924925806,405.12516293520736,-70.03999999999999,178.88,-69.63311413431444,179.02562065187615
43,29.375,337.15,93.36,281.7634103426833,416.7833751482897,281.85521083123234,420.4501582812676,-70.88,178.32999999999998,-84.40302856530576,181.8510431967996
44,29.983,337.83000000000004,93.43,281.63750227096136,418.15585144775866,281.6717549751071,423.2603520473718,-71.73,177.78,-86.82365183628889,181.1532470863173
45,30.389,338.38,93.48,281.5199789066824,419.4089402957452,281.64689001048293,406.39192068514245,-72.58,177.24,-69.38620664838663,177.53021086983398
46,30.895,339.07,93.56,281.39538313606283,420.795092176703,281.3464327808047,416.4805402845807,-73.43,176.7,-79.26489315911738,177.50417447149334
47,31.402,339.75,93.64,281.27187139050443,422.1734137768507,281.19464343856316,386.7624442564833,-74.28,176.16,-48.93963412670547,170.5648576114092
48,31.908,340.44,93.73,281.14731380029946,423.5713735605842,281.23658147718885,425.02793825409196,-75.14,175.62,-86.64380952710849,178.57827706463354
