,Unnamed: 0,Time,X,Y,BAO,RAO,X_n,Y_n,RAO_n,BAO_n,X_o,Y_o
0,0,146.286,0.0003,-0.06168,3.1367288787135665,0.06168072956766967,1.690825703800356,-0.5276173705408328,1.7522064333680256,3.128596737489544,0.0,0.0
1,1,146.392,0.00159,-0.15225,3.131149683474203,0.15225830223669248,0.034410163678584405,0.25526628299650783,0.18507846591527688,3.1382621843679814,0.0,0.0
2,2,146.5,0.00416,-0.26035,3.1256155227222546,0.2603832331391559,-0.7847630286257385,-0.2582844270940519,-0.5285397954865827,3.1256515737704036,0.0,0.0
3,3,146.604,0.00786,-0.37189,3.120460517852869,0.3719730523841748,0.006969614142068638,-2.1266143063454206,0.3710826665262434,3.0898348012423678,0.0,0.0
4,4,146.711,0.01292,-0.49061,3.1152641757170225,0.490780091792648,1.0305780056634932,0.1098885159195494,1.508438097456141,3.1257448519731583,0.0,0.0
5,5,146.817,0.01912,-0.60979,3.1102478663395914,0.6100896807027636,-0.6063089739667596,-0.7813382611957213,-0.015339293263996079,3.1072537843556547,0.0,0.0
6,6,146.922,0.02644,-0.72877,3.1053282512291007,0.7292494679463264,0.5317393741967517,-0.990126415191647,1.2345488421430781,3.100766721262797,0.0,0.0
7,7,147.027,0.0349,-0.84815,3.1004674722528383,0.8488677355748656,-0.2078490786725466,-2.3013914124907906,0.606118656902319,3.075103624778541,0.0,0.0
8,8,147.131,0.04442,-0.96686,3.0956824009752255,0.9678798458486467,0.5990003118918878,-0.8429790947129616,1.5224601577405346,3.0978445306528357,0.0,0.0
9,9,147.24,0.05565,-1.09238,3.090692845341926,1.0937965930190128,0.33010992375996356,-2.6189045318698403,1.3682565167789764,3.0640499661483322,0.0,0.0
10,10,147.341,0.06694,-1.20715,3.086196462384509,1.2090045848134738,1.7176396911864755,-1.052814464543642,2.8597042759999494,3.088890125631051,0.0,0.0
11,11,147.447,0.08,-1.32905,3.020101279379742,0.8251320515529621,-0.3071399432863881,0.7000222207611118,0.437992108266574,3.0555152703927764,-0.02,-0.51
12,12,147.553,0.09414,-1.45087,2.0463341678851794,0.28585677620095,0.04875397013935391,-2.901548699146575,0.2404707463403039,2.0210150481965234,-0.16,-1.32
13,13,147.66,0.10952,-1.57369,0.6956719843066121,0.7637992187086866,-0.2957078554276867,-3.8620051019717225,0.3585713632809999,0.6557333514540958,-0.38,-2.16
14,14,147.77,0.12638,-1.69916,0.549345043659717,1.5252559817945313,1.1757765493432546,-2.1156343185200184,2.5746525311377857,0.5420761955515431,-0.67,-3.0
15,15,147.873,0.14319,-1.81628,0.523810378937073,2.325527728172683,-0.5993635252045677,-0.7438098684245045,1.5829742029681153,0.5425285138623622,-1.02,-3.83
16,16,147.978,0.16144,-1.93605,0.5319661426384201,3.1375192232239786,-1.4896355894058388,-1.400620643673909,1.4864436338181397,0.5413111478181444,-1.43,-4.64
17,17,148.083,0.18077,-2.05585,0.5482881414036851,3.9536895699333803,-1.8836448031211757,-2.718009339666809,1.8892747668122047,0.5367312807536678,-1.88,-5.43
18,18,148.189,0.20144,-2.1771,0.5693807370180628,4.788331116746209,-1.0027798455997325,-0.7151243727864758,3.584111271146476,0.594897025296848,-2.38,-6.21
19,19,148.297,0.22353,-2.30058,0.5930037119944206,5.6428470648512175,1.9896908779293339,-2.629993751913065,7.409007942780551,0.5872543574221898,-2.93,-6.98
20,20,148.403,0.2464,-2.42321,0.615973595544991,6.501735234850771,1.0871332421435358,-2.6031964012523505,7.3424684769943065,0.6128322402343218,-3.51,-7.73
21,21,148.509,0.27007,-2.54524,0.6385051213885939,7.3659419263594526,0.8381318873279819,-3.298077196421465,7.9340038136874345,0.6253656335795561,-4.12,-8.46
22,22,148.613,0.29434,-2.66566,0.6606032173631773,8.237280599275467,-1.4139992031670559,-4.468758658479741,6.528941396108411,0.629133209034413,-4.76,-9.17
23,23,148.719,0.31998,-2.78834,0.6811357733828955,9.11577088106102,0.7031018517575119,-0.5407449471923003,9.49889273281853,0.7203637073059257,-5.42,-9.87
24,24,148.825,0.34642,-2.91037,0.6985294899811715,9.80639974472283,0.615831630507887,-3.4349746194008524,10.075811375230717,0.6893734121014549,-5.96,-10.42
25,25,148.931,0.37374,-3.0322,0.7183493748674996,10.702448973370535,2.2857588623319405,-2.794898153362807,12.614467835702476,0.7224910734123813,-6.67,-11.09
26,26,149.035,0.4016,-3.15232,0.7356760195053464,11.610391274302515,0.5030339852116155,-2.8997422644446824,11.71182525951413,0.7400843326080183,-7.39,-11.76
27,27,149.143,0.43118,-3.27583,0.7524455237070006,12.51222366253497,0.2988028024331528,-3.5853063405888803,12.379846464968123,0.7470441426067013,-8.12,-12.41
28,28,149.248,0.46091,-3.39604,0.7683836236266334,13.426273686682393,-0.9740534660355542,-2.894415876818959,11.991310220646838,0.7771386161835722,-8.87,-13.05
29,29,149.356,0.49274,-3.52116,0.7836182250555529,14.341265469030269,0.39796454956010585,-2.328074077655989,14.246490018590375,0.8044415026596493,-9.63,-13.68
30,30,149.458,0.52346,-3.63896,0.7975553628476447,15.263674271065929,0.1546415315521537,-5.5453298785304685,14.894855802618082,0.7642829317064437,-10.4,-14.3
31,31,149.564,0.55622,-3.76168,0.8110823466739547,16.18715227304667,0.4566093681051355,-2.0621427032533193,16.087541641151805,0.8407448682626282,-11.18,-14.91
32,32,149.668,0.58916,-3.88215,0.823455145185291,17.12226773906132,0.20573687706848748,-4.772006861020749,16.73884461612981,0.8079242130890173,-11.97,-15.52
