,Time,X,Y,BAO,RAO,X_n,Y_n,RAO_n,BAO_n
0,108.5,0.00027,-0.06042,3.1371239643681594,0.06042060327404883,1.690795703800356,-0.5263573705408328,1.750946307074405,3.128991823144137
1,108.603,0.00146,-0.14879,3.131780481104739,0.1487971629433841,0.034280163678584406,0.2587262829965078,0.1816173266219685,3.1388929819985174
2,108.706,0.00377,-0.25303,3.126694336922438,0.25305808384637707,-0.7851530286257385,-0.25096442709405187,-0.5358649447793615,3.126730387970587
3,108.811,0.0073,-0.36605,3.1216526659556987,0.3661227833664548,0.006409614142068637,-2.120774306345421,0.36523239750852343,3.0910269493451974
4,108.916,0.01198,-0.48258,3.1167728518666515,0.4827286782448294,1.0296380056634933,0.11791851591954938,1.5003866839083226,3.1272535281227873
5,109.018,0.01767,-0.59855,3.1120798819076754,0.5988107642653061,-0.6077589739667597,-0.7700982611957212,-0.026618209701453566,3.1090857999237387
6,109.124,0.02464,-0.71881,3.1073271929097874,0.7192321917851007,0.5299393741967516,-0.9801664151916469,1.2245315659818523,3.102765662943484
7,109.229,0.03274,-0.83953,3.1026143947519453,0.8401681548951971,-0.21000907867254662,-2.2927714124907905,0.5974190762226506,3.077250547277648
8,109.334,0.04191,-0.95983,3.097956388817982,0.9607445430498162,0.5964903118918878,-0.8359490947129615,1.515324854941704,3.1001185184955924
9,109.439,0.05213,-1.07984,3.093354433565628,1.081097573070997,0.3265899237599636,-2.60636453186984,1.3555574968309607,3.0667115543720342
10,109.544,0.06346,-1.20001,3.0887589758313845,1.20168680266532,1.7141596911864756,-1.045674464543642,2.8523864938517955,3.0914526390779264
11,109.653,0.07637,-1.32466,3.0840038722316163,1.3268596355681335,-0.31076994328638813,0.7044122207611119,0.9397196922817453,3.1194178632446508
12,109.759,0.09006,-1.44592,3.0793874085845307,1.448722005769223,0.04467397013935391,-2.896598699146575,1.4033359759085768,3.054068288895875
13,109.863,0.10464,-1.5654,3.074846415360378,1.5688934602451499,-0.3005878554276867,-3.8537151019717224,1.1636656048174632,3.0349077825078616
14,109.972,0.1209,-1.68921,3.0701425711016905,1.693530995907663,1.1702965493432547,-2.1056843185200185,2.7429275452509176,3.062873722993517
15,110.075,0.13744,-1.80686,3.0656731904338064,1.812079692839142,-0.6051135252045677,-0.7343898684245045,1.0695261676345744,3.0843913253590958
16,110.178,0.15495,-1.92393,3.061227840631907,1.9301596170783388,-1.496125589405839,-1.388500643673909,0.27908402767249996,3.0705728458116313
17,110.281,0.17353,-2.04105,3.0567766570999577,2.0484134747164693,-1.8908848031211756,-2.7032093396668087,-0.01600132840470625,3.0452197964499406
18,110.386,0.19343,-2.15969,3.0522672112466784,2.1683348590565985,-1.0107898455997326,-0.6977143727864759,0.9641150134568659,3.077783499525464
19,110.491,0.21476,-2.28074,3.047707060366831,2.290828846771404,1.980920877929334,-2.6101537519130655,4.056989724700738,3.0419577057946
20,110.595,0.23684,-2.40098,3.0432676916220283,2.4126330317725486,1.0775732421435358,-2.5809664012523506,3.2533662739160842,3.040126336311359
21,110.703,0.26066,-2.52546,3.038743954080297,2.538876099221858,0.8287218873279819,-3.2782971964214647,3.10693798654984,3.0256044662712593
22,110.807,0.28448,-2.64521,3.0344590862664025,2.660463270654192,-1.4238592031670558,-4.448308658479741,0.9521240674871361,3.002989077937638
23,110.917,0.31076,-2.77237,3.029966787606746,2.789732459305014,0.6938818517575119,-0.5247749471923004,3.172854311062526,3.0691947215297763
24,111.023,0.33684,-2.89395,3.0257195004225883,2.913487221200738,0.606251630507887,-3.4185546194008523,3.182898851708625,3.016563422542872
25,111.132,0.36492,-3.02025,3.0213510752800996,3.0422157498934883,2.2769388623319404,-2.782948153362806,4.954234612225429,3.0254927738249813
26,111.242,0.39394,-3.14625,3.0170315092896938,3.1708165803306887,0.49537398521161546,-2.8936722644446826,3.272250565542304,3.0214398223923657
27,111.352,0.42395,-3.27212,3.0127461135832516,3.2994700933483245,0.29157280243315287,-3.5815963405888804,3.1670928957814772,3.0073447324829523
28,111.456,0.4535,-3.3921,3.008687761005829,3.422280622625795,-0.9814634660355541,-2.890475876818959,1.987317156590241,3.0174427535627677
29,111.56,0.48386,-3.51195,3.004679299628074,3.545125287221878,0.38908454956010585,-2.3188640776559897,3.450349836781984,3.02550257723217
30,111.666,0.5157,-3.63448,3.000642547239898,3.6708842749942416,0.14688153155215372,-5.540849878530468,3.3020658065463953,2.9673701160986967
31,111.775,0.54921,-3.76024,2.996560990339436,3.800136376723867,0.44959936810513546,-2.060702703253319,3.7005257448290023,3.0262235119281096
32,111.88,0.58225,-3.88126,2.992687335310936,3.924690338115862,0.1988268770684875,-4.771116861020749,3.5412672151843494,2.9771564032146625
33,111.983,0.61549,-4.00016,2.988923600609846,4.047234607197858,-0.578101922258183,-5.0501768110753735,2.8536426849396745,2.9705973500552894
34,112.087,0.64975,-4.11993,2.9851720102710813,4.1708510243594175,0.349556263199837,-5.299912093458206,3.870657287559254,2.96457743762566
35,112.19,0.68463,-4.23916,2.981473874884603,4.294088464680252,2.1822691155975833,-4.521795236075381,5.791727580277835,2.976540959432936
36,112.296,0.72087,-4.36033,2.977750012552904,4.419517085134981,0.8295183714947302,-2.9220904792662434,4.528165456629711,3.0028520276220134
37,112.403,0.75861,-4.48373,2.9739881760234352,4.547452456595891,2.2619285204169106,-4.6964629670175615,6.050770977012801,2.9702752853214425
38,112.511,0.7974,-4.60813,2.970247441388705,4.676612968474085,1.1293742154884983,-3.8731034156226403,5.008587183962583,2.9830760753757777
39,112.614,0.83535,-4.72784,2.966710148830493,4.801070785574818,0.6424945396502196,-6.505852852958508,4.6082153252250375,2.9356779704035896
40,112.721,0.87547,-4.85238,2.9630922075117363,4.930724022423076,1.53017570370311,-3.9580276951794673,5.585429726126186,2.9787015999036544
41,112.829,0.91623,-4.97688,2.9595338886942257,5.060514988348518,1.3317326142980106,-5.900424656713218,5.476017602646529,2.9434149936453795
42,112.936,0.95764,-5.10137,2.9560301342816793,5.190476880451353,0.7616126876920346,-5.6921398188631365,4.994449568143388,2.945719255821107
43,113.039,0.99809,-5.22109,2.9527064778691323,5.3156339637149586,0.6983787626721726,-3.9242048072733273,5.0159227263871315,2.975341394502574
44,113.145,1.04,-5.34326,2.949358398665044,5.44353078686986,2.5695796333931558,-4.673841806590339,6.973110420263016,2.9610419502127945
45,113.251,1.08258,-5.46551,2.946048895891601,5.571694447517738,1.6313251197783296,-4.788881010444114,6.120439567296068,2.9578582995737936
46,113.355,1.12484,-5.58507,2.9428501154125826,5.697216156202957,1.112597813393557,-5.660733461487066,5.6849739695965145,2.9415295388861775
47,113.46,1.16846,-5.70666,2.9396303927401886,5.825055117953822,0.4948148126239261,-5.762527450050074,5.151409930577747,2.938655321792121
48,113.571,1.21486,-5.83409,2.936291793576678,5.959235768762635,3.4748069866262616,-4.965050670746174,8.219182755388896,2.9514593912014804
49,113.678,1.26019,-5.95692,2.9331158167141127,6.0887580607624745,0.9180729765731368,-6.4288466521335215,5.746641037335611,2.9248791428064687
50,113.781,1.30509,-6.07728,2.9300563850628865,6.215833983183592,0.4406000084142543,-5.702909650262424,5.3513439915978465,2.9365903802876496
51,113.886,1.35095,-6.19885,2.927012309700268,6.344352388148061,1.7424956935025806,-7.641971657000939,6.7358980816506415,2.9018250852787655
52,113.994,1.39845,-6.32339,2.9239408340500423,6.476181243186451,1.8847851972417022,-6.8928622705184965,6.962516440428153,2.9140016679306866
53,114.101,1.44606,-6.44686,2.92094025367828,6.607048765008473,2.872781156648836,-6.290016016295816,8.03376992165731,2.9236776976058625
54,114.205,1.49303,-6.56735,2.9180508322752248,6.73492573109756,3.2107600496602355,-7.02547679288601,8.452655780757794,2.9100550113477617
55,114.31,1.54092,-6.68892,2.915173806461067,6.864115763359473,1.2529361334792188,-6.3891116477301,6.576131896838692,2.920406449333156
56,114.416,1.58921,-6.81023,2.9123389500385835,6.993198200894923,2.645158299164539,-6.2443475113725935,8.049146500059463,2.922215462644511
57,114.523,1.63923,-6.9347,2.9094725510515893,7.125807960007062,0.40570605627243705,-6.751799298385234,5.8922840162795,2.9126647704989748
58,114.628,1.68855,-7.05647,2.9067181346270043,7.25568535449271,1.7107947385405604,-7.485538593555992,7.27793009303327,2.899229474952551
59,114.734,1.73882,-7.17962,2.9039795791076393,7.387180675792355,1.09071470710764,-5.432042760651355,6.739075382899995,2.9344805558671863
60,114.842,1.79017,-7.30443,2.901249874110654,7.520598796226269,1.3997835186384364,-8.150352637127808,7.130212314864705,2.8864857388756207
61,114.95,1.8419,-7.42918,2.89856527736471,7.654104198559097,2.4790128328124403,-7.2985570227377465,8.291217031371538,2.900845078396694
62,115.054,1.89222,-7.5496,2.8960131919217904,7.783119984196569,1.8164061336940822,-6.768298188949507,7.707306117890651,2.909649480976416
63,115.16,1.94382,-7.67213,2.8934530263257567,7.914544518119789,2.4324454158926856,-7.309939999048908,8.403169934012475,2.899774434360155
64,115.264,1.99505,-7.79287,2.890965886546537,8.04419339271502,2.959250484391409,-7.50923357616521,9.008393877106428,2.8959162760210364
65,115.37,2.04758,-7.91577,2.8884698624641416,8.176307146218273,1.4306580509095272,-8.278052228419723,7.5593851971278,2.8821468447567553
66,115.476,2.10019,-8.0379,2.8860204878682465,8.30774544904332,1.5792176646956881,-7.8281779430234,7.786773113739009,2.889680828276543
67,115.583,2.15361,-8.16098,2.883583343339085,8.440357255027775,1.0756251057492945,-9.993405966728577,7.36237236077707,2.851601476920631
68,115.689,2.20666,-8.28237,2.8812125639067183,8.571289352979516,2.2948149245983958,-9.618890549955694,8.659444277577911,2.857885879789426
69,115.791,2.25859,-8.40045,2.8789386672480726,8.698780891055941,0.3066119014548747,-8.02711921618331,6.746802792510816,2.885454518624725
70,115.895,2.31171,-8.52048,2.8766582021244784,8.828509645149627,1.6006568038764595,-8.024354577760924,8.117456449026086,2.8853172242453975
71,116.0,2.36522,-8.64061,2.8744047540949453,8.958482394942795,1.8343662480753609,-9.76257238820558,8.427628643018156,2.854822816337219
