5.733,DESIRED_RUDDER,pMarinePID,-33.18261
5.783,DESIRED_RUDDER,pMarinePID,-37.98261
5.833,DESIRED_RUDDER,pMarinePID,-37.98261
5.863,NAV_LAT,uSimMarine,43.8251
5.863,NAV_LONG,uSimMarine,-70.33038
5.863,NAV_HEADING,uSimMarine,125.4901
5.863,NAV_SPEED,uSimMarine,2.5
5.883,DESIRED_RUDDER,pMarinePID,-30.65812
5.934,DESIRED_RUDDER,pMarinePID,-30.65812
5.984,DESIRED_RUDDER,pMarinePID,-30.65812
6.034,DESIRED_RUDDER,pMarinePID,-31.85812
6.085,DESIRED_RUDDER,pMarinePID,-31.85812
6.114,NAV_LAT,uSimMarine,43.8251
6.114,NAV_LONG,uSimMarine,-70.33037
6.114,NAV_HEADING,uSimMarine,120.38638
6.114,NAV_SPEED,uSimMarine,2.71
6.135,DESIRED_RUDDER,pMarinePID,-25.73366
6.185,DESIRED_RUDDER,pMarinePID,-25.73366
6.236,DESIRED_RUDDER,pMarinePID,-25.73366
6.286,DESIRED_RUDDER,pMarinePID,-26.93366
6.336,DESIRED_RUDDER,pMarinePID,-26.93366
6.365,NAV_LAT,uSimMarine,43.8251
6.365,NAV_LONG,uSimMarine,-70.33036
6.365,NAV_HEADING,uSimMarine,116.05751
6.365,NAV_SPEED,uSimMarine,2.9
6.387,DESIRED_RUDDER,pMarinePID,-21.73902
6.437,DESIRED_RUDDER,pMarinePID,-21.73902
6.487,DESIRED_RUDDER,pMarinePID,-21.73902
6.538,DESIRED_RUDDER,pMarinePID,-22.93902
6.588,DESIRED_RUDDER,pMarinePID,-22.93902
6.615,NAV_LAT,uSimMarine,43.82509
6.615,NAV_LONG,uSimMarine,-70.33035
6.615,NAV_HEADING,uSimMarine,112.3833
6.615,NAV_SPEED,uSimMarine,3.06
6.638,DESIRED_RUDDER,pMarinePID,-18.52995
6.689,DESIRED_RUDDER,pMarinePID,-18.52995
6.739,DESIRED_RUDDER,pMarinePID,-18.52995
6.79,DESIRED_RUDDER,pMarinePID,-19.72995
6.84,DESIRED_RUDDER,pMarinePID,-19.72995
6.866,NAV_LAT,uSimMarine,43.82509
6.866,NAV_LONG,uSimMarine,-70.33034
6.866,NAV_HEADING,uSimMarine,109.21432
6.866,NAV_SPEED,uSimMarine,3.19
6.89,DESIRED_RUDDER,pMarinePID,-15.92718
6.941,DESIRED_RUDDER,pMarinePID,-15.92718
6.991,DESIRED_RUDDER,pMarinePID,-15.92718
7.041,DESIRED_RUDDER,pMarinePID,-15.92718
7.092,DESIRED_RUDDER,pMarinePID,-15.92718
7.116,NAV_LAT,uSimMarine,43.82509
7.116,NAV_LONG,uSimMarine,-70.33033
7.116,NAV_HEADING,uSimMarine,106.66356
7.116,NAV_SPEED,uSimMarine,3.33
7.143,DESIRED_RUDDER,pMarinePID,-12.86627
7.193,DESIRED_RUDDER,pMarinePID,-12.86627
7.243,DESIRED_RUDDER,pMarinePID,-12.86627
7.294,DESIRED_RUDDER,pMarinePID,-12.86627
7.344,DESIRED_RUDDER,pMarinePID,-12.86627
7.367,NAV_LAT,uSimMarine,43.82509
7.367,NAV_LONG,uSimMarine,-70.33032
7.367,NAV_HEADING,uSimMarine,104.6016
7.367,NAV_SPEED,uSimMarine,3.44
7.395,DESIRED_RUDDER,pMarinePID,-10.39192
7.445,DESIRED_RUDDER,pMarinePID,-10.39192
7.495,DESIRED_RUDDER,pMarinePID,-10.39192
7.546,DESIRED_RUDDER,pMarinePID,-9.19192
7.596,DESIRED_RUDDER,pMarinePID,-9.19192
7.617,NAV_LAT,uSimMarine,43.82509
7.617,NAV_LONG,uSimMarine,-70.33031
7.617,NAV_HEADING,uSimMarine,103.12933
7.617,NAV_SPEED,uSimMarine,3.57
7.646,DESIRED_RUDDER,pMarinePID,-7.42519
7.697,DESIRED_RUDDER,pMarinePID,-7.42519
7.747,DESIRED_RUDDER,pMarinePID,-7.42519
7.797,DESIRED_RUDDER,pMarinePID,-7.42519
7.848,DESIRED_RUDDER,pMarinePID,-7.42519
7.868,NAV_LAT,uSimMarine,43.82508
7.868,NAV_LONG,uSimMarine,-70.3303
7.868,NAV_HEADING,uSimMarine,101.93745
7.868,NAV_SPEED,uSimMarine,3.66
7.898,DESIRED_RUDDER,pMarinePID,-5.99494
7.948,DESIRED_RUDDER,pMarinePID,-5.99494
7.999,DESIRED_RUDDER,pMarinePID,-5.99494
8.049,DESIRED_RUDDER,pMarinePID,-4.79494
8.099,DESIRED_RUDDER,pMarinePID,-4.79494
