,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.65713525,-1.2190707,0.54033434,-0.9727853,0.67494655,-0.6670895,0.5479017,-0.7125762,-0.634236,-0.44226858,0.5453706,-0.57893914,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.2909994,-0.50652385,Green
1,0.54033434,-0.9727853,0.67494655,-0.6670895,0.5479017,-0.7125762,-0.634236,-0.44226858,0.5453706,-0.57893914,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.31318378,-0.455998,Green
2,0.67494655,-0.6670895,0.5479017,-0.7125762,-0.634236,-0.44226858,0.5453706,-0.57893914,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.3250852,-0.43612736,Green
3,0.5479017,-0.7125762,-0.634236,-0.44226858,0.5453706,-0.57893914,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.3831704,-0.41152644,Green
4,-0.634236,-0.44226858,0.5453706,-0.57893914,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.37389717,-0.43441993,0.37390402,-0.40554297,Green
5,0.5453706,-0.57893914,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.37389717,-0.43441993,0.32838577,-0.4788864,0.3879219,-0.46621495,Green
6,0.48847726,-0.32729527,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.37389717,-0.43441993,0.32838577,-0.4788864,0.31854177,-0.48671794,0.33074456,-0.49220645,Green
7,0.48679,-0.5395479,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.37389717,-0.43441993,0.32838577,-0.4788864,0.31854177,-0.48671794,0.09669303,-0.40180308,0.31711033,-0.4871868,Green
8,0.45751527,-0.45464277,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.37389717,-0.43441993,0.32838577,-0.4788864,0.31854177,-0.48671794,0.09669303,-0.40180308,0.28015214,-0.5197869,0.2972877,-0.46965218,Green
9,0.4237534,-0.34294638,0.35804248,-0.39154312,0.5163301,-0.4625115,0.37389717,-0.43441993,0.32838577,-0.4788864,0.31854177,-0.48671794,0.09669303,-0.40180308,0.28015214,-0.5197869,0.21777883,-0.5157919,0.25786102,-0.47990668,Green
