,Time,X,Y,BAO,RAO,X_n,Y_n,RAO_n,BAO_n
0,146.286,0.0003,-0.06168,3.1367288787135665,0.06168072956766967,1.690825703800356,-0.5276173705408328,1.7522064333680256,3.128596737489544
1,146.392,0.00159,-0.15225,3.131149683474203,0.15225830223669248,0.034410163678584405,0.25526628299650783,0.18507846591527688,3.1382621843679814
2,146.5,0.00416,-0.26035,3.1256155227222546,0.2603832331391559,-0.7847630286257385,-0.2582844270940519,-0.5285397954865827,3.1256515737704036
3,146.604,0.00786,-0.37189,3.120460517852869,0.3719730523841748,0.006969614142068638,-2.1266143063454206,0.3710826665262434,3.0898348012423678
4,146.711,0.01292,-0.49061,3.1152641757170225,0.490780091792648,1.0305780056634932,0.1098885159195494,1.508438097456141,3.1257448519731583
5,146.817,0.01912,-0.60979,3.1102478663395914,0.6100896807027636,-0.6063089739667596,-0.7813382611957213,-0.015339293263996079,3.1072537843556547
6,146.922,0.02644,-0.72877,3.1053282512291007,0.7292494679463264,0.5317393741967517,-0.990126415191647,1.2345488421430781,3.100766721262797
7,147.027,0.0349,-0.84815,3.1004674722528383,0.8488677355748656,-0.2078490786725466,-2.3013914124907906,0.606118656902319,3.075103624778541
8,147.131,0.04442,-0.96686,3.0956824009752255,0.9678798458486467,0.5990003118918878,-0.8429790947129616,1.5224601577405346,3.0978445306528357
9,147.24,0.05565,-1.09238,3.090692845341926,1.0937965930190128,0.33010992375996356,-2.6189045318698403,1.3682565167789764,3.0640499661483322
10,147.341,0.06694,-1.20715,3.086196462384509,1.2090045848134738,1.7176396911864755,-1.052814464543642,2.8597042759999494,3.088890125631051
11,147.447,0.08,-1.32905,3.0814718231326634,1.3314555578388638,-0.3071399432863881,0.7000222207611118,0.9443156145524757,3.116885814145698
12,147.553,0.09414,-1.45087,3.0767982749775302,1.4539209388752883,0.04875397013935391,-2.901548699146575,1.4085349090146422,3.0514791552888743
13,147.66,0.10952,-1.57369,3.0721102927570185,1.5774963855743063,-0.2957078554276867,-3.8620051019717225,1.1722685301466196,3.032171659904502
14,147.77,0.12638,-1.69916,3.0673514270005597,1.7038534590744592,1.1757765493432546,-2.1156343185200184,2.753250008417714,3.060082578892386
15,147.873,0.14319,-1.81628,3.0629184146506407,1.8219155892905685,-0.5993635252045677,-0.7438098684245045,1.0793620640860007,3.08163654957593
16,147.978,0.16144,-1.93605,3.0583988442073036,1.9427692802028758,-1.4896355894058388,-1.400620643673909,0.2916936907970369,3.067743849387028
