,Unnamed: 0,Time,X,Y,BAO,RAO,X_n,Y_n,RAO_n,BAO_n,X_o,Y_o
0,0,140.372,0.00029,-0.06075,3.136819027298366,0.06075069217712667,1.690815703800356,-0.5266873705408328,1.7512763959774826,3.1286868860743433,0.0,0.0
1,1,140.478,0.00156,-0.1512,3.1312755593467925,0.15120804740489177,0.0343801636785844,0.2563162829965078,0.18402821108347617,3.1383880602405707,0.0,0.0
2,2,140.58,0.00397,-0.25425,3.125979369815307,0.25428099299790374,-0.7849530286257386,-0.25218442709405187,-0.5346420356278349,3.126015420863456,0.0,0.0
3,3,140.687,0.0077,-0.36827,3.1206871271318812,0.3683504892083082,0.0068096141420686375,-2.122994306345421,0.3674601033503768,3.09006141052138,0.0,0.0
4,4,140.794,0.01272,-0.48721,3.1154907445242213,0.48737601756754506,1.0303780056634932,0.11328851591954942,1.5050340232310382,3.125971420780357,0.0,0.0
5,5,140.898,0.01877,-0.60436,3.1105449858908063,0.6046514057703,-0.6066589739667597,-0.7759082611957212,-0.020777568196459706,3.1075509039068696,0.0,0.0
6,6,141.002,0.02596,-0.72253,3.1056787982100853,0.7229962119541152,0.5312593741967516,-0.983886415191647,1.2282955861508669,3.1011172682437818,0.0,0.0
7,7,141.109,0.0345,-0.84391,3.1007342686016477,0.8446149052082849,-0.2082490786725466,-2.297151412490791,0.6018658265357383,3.0753704211273503,0.0,0.0
8,8,141.215,0.04413,-0.96452,3.0958712116389644,0.9655290193981743,0.5987103118918878,-0.8406390947129616,1.5201093312900622,3.0980333413165746,0.0,0.0
9,9,141.319,0.05476,-1.08361,3.09110081927816,1.0849927602062606,0.32921992375996356,-2.61013453186984,1.3594526839662242,3.064457940084566,0.0,0.0
10,10,141.425,0.06662,-1.20381,3.086308087020926,1.2056519980906597,1.7173196911864754,-1.049474464543642,2.856351689277135,3.089001750267468,0.0,0.0
11,11,141.528,0.0793,-1.32124,3.0197933429231245,0.8172948229372311,-0.30783994328638814,0.7078322207611119,0.430154879650843,3.055207333936159,-0.02,-0.51
12,12,141.631,0.09311,-1.43888,2.0098927987574577,0.2796374912274818,0.04772397013935391,-2.8895586991465745,0.23425146136683572,1.9845736790688018,-0.16,-1.32
13,13,141.735,0.1081,-1.5572,0.6806405193962072,0.7756348689944259,-0.2971278554276867,-3.8455151019717224,0.3704070135667392,0.6407018865436909,-0.38,-2.16
14,14,141.841,0.12444,-1.67716,0.5408285018393276,1.543062078854898,1.1738365493432545,-2.0936343185200186,2.5924586281981528,0.5335596537311537,-0.67,-3.0
15,15,141.947,0.14193,-1.79706,0.5192388132710637,2.3415649400561156,-0.6006235252045677,-0.7245898684245047,1.5990114148515477,0.5379569481963529,-1.02,-3.83
16,16,142.052,0.16048,-1.91645,0.5285516717580553,3.1539421733601896,-1.490595589405839,-1.381020643673909,1.5028665839543507,0.5378966769377795,-1.43,-4.64
17,17,142.159,0.18028,-2.03641,0.5456305246094172,3.9700386353913477,-1.8841348031211755,-2.698569339666809,1.9056238322701722,0.5340736639593999,-1.88,-5.43
18,18,142.263,0.20084,-2.15409,0.566695235874567,4.807404812755006,-1.0033798455997327,-0.692114372786476,3.603184967155274,0.5922115241533522,-2.38,-6.21
19,19,142.371,0.22365,-2.27888,0.5908790337110535,5.660921972338075,1.9898108779293338,-2.608293751913065,7.427082850267409,0.5851296791388227,-2.93,-6.98
20,20,142.477,0.247,-2.40233,0.6141982415986584,6.519134653380002,1.0877332421435357,-2.5823164012523505,7.3598678955235375,0.6110568862879893,-3.51,-7.73
21,21,142.584,0.27148,-2.52743,0.6372204229573222,7.381089580495552,0.8395418873279819,-3.2802671964214647,7.949151467823534,0.6240809351482843,-4.12,-8.46
22,22,142.687,0.29582,-2.64792,0.6594257733708889,8.252202336273633,-1.412519203167056,-4.451018658479741,6.543863133106577,0.6279557650421247,-4.76,-9.17
23,23,142.791,0.32117,-2.76961,0.6799454024878234,9.131077215805371,0.704291851757512,-0.5220149471923006,9.514199067562883,0.7191733364108536,-5.42,-9.87
24,24,142.896,0.34756,-2.89259,0.6974540956244156,9.820754271526194,0.616971630507887,-3.4171946194008527,10.090165902034082,0.688298017744699,-5.96,-10.42
25,25,143.003,0.37532,-3.01812,0.7175955004213649,10.714092618453511,2.2873388623319406,-2.780818153362807,12.626111480785452,0.7217371989662466,-6.67,-11.09
26,26,143.109,0.40342,-3.14155,0.7351701228003689,11.619598775297707,0.5048539852116154,-2.8889722644446825,11.721032760509322,0.7395784359030407,-7.39,-11.76
27,27,143.214,0.43223,-3.26461,0.7518943339905847,12.52113398319018,0.2998528024331528,-3.57408634058888,12.388756785623334,0.7464929528902854,-8.12,-12.41
28,28,143.319,0.46147,-3.38614,0.7679014375956679,13.433782879758775,-0.9734934660355541,-2.884515876818959,11.99881941372322,0.7766564301526067,-8.87,-13.05
29,29,143.425,0.49211,-3.51012,0.7830440368798294,14.348643492208593,0.39733454956010583,-2.3170340776559897,14.2538680417687,0.8038673144839258,-9.63,-13.68
30,30,143.53,0.52301,-3.63194,0.7972057371589931,15.2682563386819,0.15419153155215365,-5.538309878530468,14.899437870234053,0.7639333060177921,-10.4,-14.3
31,31,143.634,0.55447,-3.75287,0.8106134229437487,16.19195281668644,0.4548593681051355,-2.0533327032533193,16.092342184791576,0.8402759445324222,-11.18,-14.91
32,32,143.738,0.58656,-3.87325,0.8229707860199499,17.126411900806893,0.20313687706848743,-4.763106861020749,16.742988777875382,0.8074398539236762,-11.97,-15.52
