,Time,X,Y,BAO,RAO,X_n,Y_n,RAO_n,BAO_n
0,140.372,0.00029,-0.06075,3.136819027298366,0.06075069217712667,1.690815703800356,-0.5266873705408328,1.7512763959774826,3.1286868860743433
1,140.478,0.00156,-0.1512,3.1312755593467925,0.15120804740489177,0.0343801636785844,0.2563162829965078,0.18402821108347617,3.1383880602405707
2,140.58,0.00397,-0.25425,3.125979369815307,0.25428099299790374,-0.7849530286257386,-0.25218442709405187,-0.5346420356278349,3.126015420863456
3,140.687,0.0077,-0.36827,3.1206871271318812,0.3683504892083082,0.0068096141420686375,-2.122994306345421,0.3674601033503768,3.09006141052138
4,140.794,0.01272,-0.48721,3.1154907445242213,0.48737601756754506,1.0303780056634932,0.11328851591954942,1.5050340232310382,3.125971420780357
5,140.898,0.01877,-0.60436,3.1105449858908063,0.6046514057703,-0.6066589739667597,-0.7759082611957212,-0.020777568196459706,3.1075509039068696
6,141.002,0.02596,-0.72253,3.1056787982100853,0.7229962119541152,0.5312593741967516,-0.983886415191647,1.2282955861508669,3.1011172682437818
7,141.109,0.0345,-0.84391,3.1007342686016477,0.8446149052082849,-0.2082490786725466,-2.297151412490791,0.6018658265357383,3.0753704211273503
8,141.215,0.04413,-0.96452,3.0958712116389644,0.9655290193981743,0.5987103118918878,-0.8406390947129616,1.5201093312900622,3.0980333413165746
9,141.319,0.05476,-1.08361,3.09110081927816,1.0849927602062606,0.32921992375996356,-2.61013453186984,1.3594526839662242,3.064457940084566
10,141.425,0.06662,-1.20381,3.086308087020926,1.2056519980906597,1.7173196911864754,-1.049474464543642,2.856351689277135,3.089001750267468
11,141.528,0.0793,-1.32124,3.0816451922554564,1.3236176289246075,-0.30783994328638814,0.7078322207611119,0.9364776856382194,3.117059183268491
12,141.631,0.09311,-1.43888,3.076972697168996,1.441889429359963,0.04772397013935391,-2.8895586991465745,1.3965033994993168,3.05165357748034
13,141.735,0.1081,-1.5572,3.072284373685879,1.5609476128301039,-0.2971278554276867,-3.8455151019717224,1.1557197574024172,3.0323457408333625
14,141.841,0.12444,-1.67716,3.0675315045475497,1.6817701921487371,1.1738365493432545,-2.0936343185200186,2.731166741491992,3.060262656439376
15,141.947,0.14193,-1.79706,3.062777257990543,1.8026560316654978,-0.6006235252045677,-0.7245898684245047,1.0601025064609302,3.081495392915832
16,142.052,0.16048,-1.91645,3.058049398739905,1.923157412408043,-1.490595589405839,-1.381020643673909,0.2720818230022042,3.0673944039196295
