,Time,X,Y,BAO,RAO,X_n,Y_n,RAO_n,BAO_n
0,146.286,-0.0003,-0.06168,3.1464564284660197,0.06168072956766967,1.690225703800356,-0.5276173705408328,1.7522064333680256,3.138324287241997
1,146.392,-0.00159,-0.15225,3.152035623705383,0.15225830223669248,0.031230163678584402,0.25526628299650783,0.18507846591527688,3.1591481245991613
2,146.5,-0.00416,-0.26035,3.1575697844573316,0.2603832331391559,-0.7930830286257387,-0.2582844270940519,-0.5285397954865827,3.1576058355054806
3,146.604,-0.00786,-0.37189,3.162724789326717,0.3719730523841748,-0.008750385857931364,-2.1266143063454206,0.3710826665262434,3.132099072716216
4,146.711,-0.01292,-0.49061,3.1679211314625637,0.490780091792648,1.0047380056634931,0.1098885159195494,1.508438097456141,3.1784018077186995
5,146.817,-0.01912,-0.60979,3.172937440839995,0.6100896807027636,-0.6445489739667597,-0.7813382611957213,-0.015339293263996079,3.169943358856058
6,146.922,-0.02644,-0.72877,3.1778570559504855,0.7292494679463264,0.4788593741967516,-0.990126415191647,1.2345488421430781,3.173295525984182
7,147.027,-0.0349,-0.84815,3.182717834926748,0.8488677355748656,-0.2776490786725466,-2.3013914124907906,0.606118656902319,3.1573539874524505
8,147.131,-0.04442,-0.96686,3.1875029062043607,0.9678798458486467,0.5101603118918878,-0.8429790947129616,1.5224601577405346,3.189665035881971
9,147.24,-0.05565,-1.09238,3.1924924618376602,1.0937965930190128,0.21880992375996358,-2.6189045318698403,1.3682565167789764,3.1658495826440665
10,147.341,-0.06694,-1.20715,3.196988844795077,1.2090045848134738,1.5837596911864755,-1.052814464543642,2.8597042759999494,3.199682508041619
11,147.447,-0.08,-1.32905,3.201713484046923,1.3314555578388638,-0.46713994328638814,0.7000222207611118,0.9443156145524757,3.2371274750599572
12,147.553,-0.09414,-1.45087,3.206387032202056,1.4539209388752883,-0.1395260298606461,-2.901548699146575,1.4085349090146422,3.1810679125134
13,147.66,-0.10952,-1.57369,3.2110750144225677,1.5774963855743063,-0.5147478554276868,-3.8620051019717225,1.1722685301466196,3.1711363815700513
14,147.77,-0.12638,-1.69916,3.2158338801790265,1.7038534590744592,0.9230165493432547,-2.1156343185200184,2.753250008417714,3.2085650320708528
15,147.873,-0.14319,-1.81628,3.2202668925289455,1.8219155892905685,-0.8857435252045678,-0.7438098684245045,1.0793620640860007,3.238985027454235
16,147.978,-0.16144,-1.93605,3.2247864629722827,1.9427692802028758,-1.812515589405839,-1.400620643673909,0.2916936907970369,3.234131468152007
17,148.083,-0.18077,-2.05585,3.229296653576046,2.0637822112325708,-2.2451848031211754,-2.718009339666809,-0.000632591888604761,3.2177397929260287
18,148.189,-0.20144,-2.1771,3.2338567107568945,2.186399433680863,-1.4056598455997327,-0.7151243727864758,0.9821795880811304,3.25937299903568
19,148.297,-0.22353,-2.30058,3.2384510731490415,2.3114138524504866,1.5426308779293338,-2.629993751913065,4.077574730379821,3.2327017185768105
20,148.403,-0.2464,-2.42321,3.2429276648139425,2.43570516772864,0.5943332421435357,-2.6031964012523505,3.2764384098721755,3.2397863095032733
21,148.509,-0.27007,-2.54524,3.2473049755738588,2.5595281718512104,0.29799188732798193,-3.298077196421465,3.1275900591791923,3.234165487764821
22,148.613,-0.29434,-2.66566,3.251566333235048,2.681861158076607,-2.0026792031670557,-4.468758658479741,0.9735219549095511,3.2200963249062835
23,148.719,-0.31998,-2.78834,3.2558493026981576,2.806639833680125,0.06314185175751197,-0.5407449471923003,3.189761685437637,3.295077236621188
24,148.825,-0.34642,-2.91037,3.2600647855149547,2.9309145933138345,-0.07700836949211298,-3.4349746194008524,3.2003262238217216,3.2509087076352383
25,148.931,-0.37374,-3.0322,3.264231137444271,3.055146220330543,1.5382788623319406,-2.794898153362807,4.967165082662484,3.268372835989153
26,149.035,-0.4016,-3.15232,3.2683082847467957,3.1777986000374536,-0.30016601478838456,-2.8997422644446824,3.279232585249069,3.2727165978494677
