,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
17,323.764,-228.49,480.1,113.625919177233,474.294653142959,126.417830317711,524.59717867862,206.05,290.02,1.64666666666667,-0.115333333333335
18,338.838,-244.37,504.33,114.447951695618,522.004139447189,91.4188694240315,444.870653165466,230.83,288.29,1.652,-0.115333333333331
19,353.916,-270.27,519.47,113.887436818203,575.145359365787,78.9354870477413,662.10213351165,255.61,286.57,1.652,-0.114666666666668
20,368.995,-296.62,534.09,113.355717219037,627.71407575424,83.2204209804641,649.574201066501,279.66,285.24,1.60333333333333,-0.0886666666666656
21,384.087,-323.27,548.65,112.884778333766,680.622659702129,99.0793670110321,702.220052349336,303.78,283.97,1.608,-0.0846666666666655
22,399.159,-349.89,562.82,112.441044321265,734.231268266341,125.892190787134,712.984117191284,328.74,282.54,1.664,-0.0953333333333338
23,414.314,-376.39,577.01,112.09699464995,787.212010198015,133.168048888315,811.13666107769,353,280.88,1.61733333333333,-0.110666666666668
24,429.367,-402.66,591.87,113.532203378681,817.027423346365,98.3570059603477,865.904422071991,346.42,265.66,-0.438666666666666,-1.01466666666666
25,444.437,-380,594.36,115.715278363194,782.80827410037,89.6747746184688,820.970679489902,325.28,254.7,-1.40933333333334,-0.730666666666669
26,459.502,-351.85,583.38,117.359867785856,737.633523099378,135.237426001754,760.309896639325,303.27,244.38,-1.46733333333333,-0.688
27,474.555,-323.76,572.04,119.187912234809,692.981314755311,130.800154302832,672.201907478522,281.23,234.09,-1.46933333333333,-0.686
28,489.6,-295.85,560.76,121.255812272368,649.346668891125,139.086152845327,617.307435859359,259.25,223.84,-1.46533333333333,-0.683333333333333
29,504.749,-267.76,549.41,123.62194345189,606.49020874207,72.5320567931456,649.700138370055,237.27,213.59,-1.46533333333333,-0.683333333333333
30,519.779,-239.65,538.06,126.336127940713,564.840510675359,110.754162091277,531.292642633956,215.36,203.38,-1.46066666666667,-0.680666666666667
31,534.932,-211.53,526.69,129.466509538719,524.678713595282,108.453116705336,571.820829681429,193.52,193.19,-1.456,-0.679333333333333
32,549.921,-183.55,515.39,133.117264193262,486.412638816057,111.583201642269,517.716776885943,171.51,182.93,-1.46733333333333,-0.683999999999999
33,564.995,-155.58,504.09,137.352361385823,450.502601213356,99.6752169645195,409.313436383355,149.63,172.73,-1.45866666666667,-0.680000000000001
34,580.07,-127.4,492.7,142.298549255754,417.285947163333,112.199103246187,383.180399888245,127.79,162.54,-1.456,-0.679333333333333
35,595.15,-99.49,481.43,147.818100674216,388.108405603383,160.476253023181,227.695116598464,107.22,152.95,-1.37133333333333,-0.639333333333334
36,610.213,-71.4,470.08,154.402943693656,362.929850108805,116.76667147852,381.663454144975,85.4,142.77,-1.45466666666667,-0.678666666666665
37,625.304,-43.42,458.77,161.872746700579,343.298650885785,139.95791933157,310.214699097461,63.39,132.51,-1.46733333333333,-0.684000000000001
38,640.411,-17.3,448.22,169.76200484431,331.162787311618,188.980671740951,138.794567508366,41.56,122.33,-1.45533333333333,-0.678666666666666
39,655.424,10.7,436.91,178.430500323948,324.941906192476,147.929359858741,355.186594522492,19.6,112.09,-1.464,-0.682666666666666
40,670.57,38.78,425.56,187.216732391259,326.2142506084,173.169412923615,372.624971549212,-2.2,101.93,-1.45333333333333,-0.677333333333333
41,685.629,66.7,414.28,195.721805583109,335.096394489705,219.816380697699,283.88997588332,-24.1,91.72,-1.46,-0.680666666666667
42,700.703,94.89,402.89,203.677707367413,350.953660331389,235.703106622061,322.782104338704,-46.05,81.48,-1.46333333333333,-0.682666666666666
43,715.728,122.9,391.58,210.791420690064,372.89449043932,222.80280425139,400.787147148065,-67.99,71.25,-1.46266666666667,-0.682
44,730.816,150.88,380.27,217.022943588288,399.82742639794,233.274644951094,358.219434938225,-89.87,61.05,-1.45866666666667,-0.68
45,745.857,178.79,369,222.450522303595,431.11132019468,246.474062137024,499.939359802755,-112.19,50.9,-1.488,-0.676666666666667
46,760.948,206.99,357.77,227.132951379985,465.471482692549,250.842128308055,433.181918860587,-134.17,41.11,-1.46533333333333,-0.652666666666667
47,776.09,235.21,346.92,231.121882837197,502.92689259971,216.196889046813,418.60864695679,-156.31,31.25,-1.476,-0.657333333333333
48,791.109,263.48,336.07,234.518420990611,542.587276389707,253.056086509876,642.253272342798,-178.35,21.13,-1.46933333333333,-0.674666666666667
49,806.258,291.59,325.28,237.328336920971,583.30115249329,188.15281359473,601.894141527452,-199.42,10.4,-1.40466666666667,-0.715333333333333
50,821.354,319.78,314.46,237.81622896798,594.439092254202,274.186504680521,613.017716863149,-183.32,-2.16,1.07333333333333,-0.837333333333333
51,836.406,348.01,303.62,238.487868579463,595.087901490192,341.985538097598,455.258956711042,-159.32,-7.42,1.6,-0.350666666666667
52,851.438,376.26,292.54,239.243774997147,595.635643325683,255.288451350875,564.675234666908,-135.6,-12.06,1.58133333333333,-0.309333333333333
53,866.607,404.14,281.29,239.975320839865,595.615695730057,251.482473893702,538.5934297049,-111.55,-16.74,1.60333333333333,-0.312
54,881.688,432.39,269.87,240.745201557634,595.996298646225,263.373268653525,573.303483607712,-87.59,-21.39,1.59733333333333,-0.31
55,896.801,462.51,257.91,241.733060809,599.01168502793,226.738526376033,449.274277017652,-65.07,-25.77,1.50133333333333,-0.292
56,911.908,490.98,246.97,242.475191575887,600.195655182541,230.970933452389,581.399157075266,-41.28,-30.4,1.586,-0.308666666666667
57,926.997,513.89,232.95,243.183189924681,594.383911373785,255.262353529389,561.10160576757,-16.57,-35.2,1.64733333333333,-0.32
58,942.143,499.7,207.26,243.306916375514,550.36478539238,256.736986691078,633.958202309971,7.99,-39.97,1.63733333333333,-0.318
59,957.224,482.68,181.99,243.280959702988,504.185956369275,231.493251426711,537.625409425822,32.33,-44.7,1.62266666666667,-0.315333333333334
60,972.298,465.71,156.83,243.237491754154,458.079133993244,228.7061507463,433.763764557561,56.7,-49.44,1.62466666666667,-0.316
61,987.396,448.8,131.77,243.18940586581,412.200556161682,218.725122573685,357.333269333583,80.91,-54.15,1.614,-0.314
62,1002.445,433.05,108.41,242.993123589706,368.268984575134,223.902198278077,344.822396931112,104.94,-58.82,1.602,-0.311333333333333
63,1017.491,416.07,83.24,242.86428625684,321.947147370496,221.479198450296,285.00901254726,129.56,-63.6,1.64133333333333,-0.318666666666667
64,1032.659,400.35,59.92,242.575700889112,278.238393109219,254.519501382219,257.358111677355,153.38,-68.23,1.588,-0.308666666666667
65,1047.775,382.34,33.23,243.853239534483,231.555481904446,227.80349955663,256.567598749501,174.48,-68.81,1.40666666666667,-0.0386666666666666
66,1062.849,365.27,7.92,254.200568790006,209.203564979185,267.964254940083,187.031722593011,163.97,-49.04,-0.700666666666666,1.318
67,1077.958,348.43,-17.05,265.479796469569,200.73436302736,253.188724699573,222.296893792645,148.32,-32.87,-1.04333333333333,1.078
68,1092.98,331.5,-42.14,277.529329760251,202.314371708982,263.882320073337,178.099856513177,130.93,-15.63,-1.15933333333333,1.14933333333333
69,1108.121,314.55,-67.28,288.797764599088,212.240520400794,312.505072958503,187.593147748401,113.63,1.11,-1.15333333333333,1.116
70,1123.186,297.72,-92.23,298.663431641441,229.619271839277,321.681605220479,206.605820372221,96.24,17.91,-1.15933333333333,1.12
71,1138.226,280.79,-117.32,306.973698340083,252.806414871142,321.724254930012,215.162238089886,78.82,34.73,-1.16133333333333,1.12133333333333
72,1153.382,263.84,-142.45,313.781369297808,281.944817295867,302.597639150147,223.15255108778,60.28,52.63,-1.236,1.19333333333333
73,1168.471,247,-167.42,319.244865939545,312.670588479313,303.473559591392,282.034668328584,42.88,69.43,-1.16,1.12
74,1183.476,230.09,-192.5,323.763344659885,344.193021428384,297.622451860318,303.830707804897,26.63,85.12,-1.08333333333333,1.046
75,1198.568,213.17,-217.57,327.447665403483,379.095834849184,344.80123022497,441.976118494917,9.19,101.97,-1.16266666666667,1.12333333333333
