,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
1103,16918.874,-491.45,397.64,134.405213086685,859.633606253269,134.405213086685,859.633606253269,122.68,-203.87,-1.288,1.22466666666667
1104,16933.958,-477.72,368.2,133.633892084087,804.958739066792,133.633892084087,804.958739066792,104.88,-187.26,-1.18666666666667,1.10733333333333
1105,16949.121,-465.66,342.33,132.864307229585,754.045050776146,132.864307229585,754.045050776146,87.03,-170.62,-1.19,1.10933333333333
1106,16964.237,-451.95,312.93,131.858930084464,699.821368993545,131.858930084464,699.821368993545,69.27,-154.06,-1.184,1.104
1107,16980.339,-438.26,283.58,130.68107357579,644.214666473839,130.68107357579,644.214666473839,50.28,-136.35,-1.266,1.18066666666667
1108,16995.491,-425.63,255.88,129.349703286704,592.364729706285,129.349703286704,592.364729706285,32.44,-119.71,-1.18933333333333,1.10933333333333
1109,17010.649,-406.46,231.13,128.44415301851,538.575279789186,128.44415301851,538.575279789186,15.36,-103.73,-1.13866666666667,1.06533333333333
1110,17025.721,-382.86,211.92,128.110690302799,482.677178246496,128.110690302799,482.677178246496,-3.08,-85.98,-1.22933333333333,1.18333333333333
1111,17040.8,-359.3,192.85,127.696942867892,427.04248840133,127.696942867892,427.04248840133,-21.4,-68.28,-1.22133333333333,1.18
1112,17055.929,-335.61,173.66,127.159099459485,371.27272953989,127.159099459485,371.27272953989,-39.72,-50.6,-1.22133333333333,1.17866666666667
1113,17071.046,-313.59,155.83,126.518416276322,318.527993432288,126.518416276322,318.527993432288,-57.6,-33.72,-1.192,1.12533333333333
1114,17086.207,-289.93,136.67,125.637080326867,264.001109846152,125.637080326867,264.001109846152,-75.37,-17.15,-1.18466666666667,1.10466666666667
1115,17101.306,-266.32,117.55,124.002501039893,212.095546865086,124.002501039893,212.095546865086,-90.49,-1.06,-1.008,1.07266666666667
1116,17116.413,-242.67,98.41,115.380906326552,180.480284795875,115.380906326552,180.480284795875,-79.61,21.05,0.725333333333333,1.474
1117,17131.464,-219.09,79.31,104.265397482121,159.487851888475,104.265397482121,159.487851888475,-64.52,40.01,1.006,1.264
1118,17146.583,-195.49,60.19,90.9499152175482,145.369978331153,90.9499152175482,145.369978331153,-50.14,57.78,0.958666666666666,1.18466666666667
1119,17161.73,-171.83,41.04,75.2634161929916,142.073430309823,75.2634161929916,142.073430309823,-34.43,77.18,1.04733333333333,1.29333333333333
1120,17176.83,-148.12,21.84,59.9925533345789,149.406368003509,59.9925533345789,149.406368003509,-18.74,96.56,1.046,1.292
1121,17192.033,-124.43,2.65,46.9941557460904,165.6127824173,46.9941557460904,165.6127824173,-3.32,115.61,1.028,1.27
1122,17207.178,-100.72,-16.54,36.7325722730716,188.586541672517,36.7325722730716,188.586541672517,12.07,134.6,1.026,1.266
1123,17222.327,-77.02,-35.74,28.902718969812,216.542144858686,28.902718969812,216.542144858686,27.64,153.83,1.038,1.282
