,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,82.106,6.62,2.25,294.655898744082,1.34238593556399,296.227005859444,-14.7039197527803,5.4,2.81,,
1,97.137,35.34,-21.93,324.834830673163,16.8074388292803,318.003311658071,16.9489963639148,25.66,-8.19,1.35066666666667,-0.733333333333333
2,112.304,59.09,-46.48,329.365099172545,27.7883734680531,329.725795234824,37.079602973954,44.93,-22.57,1.28466666666667,-0.958666666666667
3,127.364,84.33,-72.62,330.544885583297,40.7124415873084,348.395040646064,26.1714082418085,64.31,-37.17,1.292,-0.973333333333333
4,142.445,109.48,-98.66,331.10503996119,53.6831779983264,337.950603423648,47.9276541003738,83.54,-51.66,1.282,-0.966
5,157.462,134.86,-124.95,331.243704564748,66.786521095203,327.193472513381,64.9389162375262,102.73,-66.4,1.27933333333333,-0.982666666666667
6,172.569,161.78,-152.83,330.804129714845,81.939866975728,330.219938894188,80.3551426480458,121.81,-81.3,1.272,-0.993333333333333
7,187.556,186.83,-178.77,330.928889925431,94.4031620233136,370.776336377764,79.1066049789693,140.96,-96.26,1.27666666666667,-0.997333333333334
8,202.673,212.1,-204.93,331.074686807377,106.74653062278,321.13639388239,108.062022826853,160.47,-111.5,1.30066666666667,-1.016
9,217.711,237.2,-230.92,331.094450484298,119.474393072323,352.671154838807,118.836221234797,179.45,-126.33,1.26533333333333,-0.988666666666667
10,232.821,262.55,-257.18,331.169624586694,132.035668665706,336.9397410862,143.29968687402,198.88,-141.51,1.29533333333333,-1.012
11,247.874,287.97,-283.5,331.192845855949,144.833670808966,327.374582936531,205.170644788248,218.18,-156.59,1.28666666666667,-1.00533333333333
12,262.919,313.05,-309.47,331.327602747275,157.252737337065,330.551194983337,157.226170615527,237.6,-171.5,1.29466666666667,-0.994
13,277.972,338.33,-335.64,331.217558202744,171.760244527073,331.196917526176,165.719641826164,255.63,-185.1,1.202,-0.906666666666666
14,293.043,361.73,-359.88,331.552118839156,182.257441274698,335.190208729611,162.718393841529,274.91,-199.63,1.28533333333334,-0.968666666666667
15,308.138,376.34,-385.4,334.369872081444,189.939011527385,338.201375101478,181.329610111869,294.18,-214.15,1.28466666666667,-0.968000000000001
