,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
69,1133.617,-285.48,56.72,61.3672727574973,351.152669077141,47.3206415191372,358.91016882523,22.73,224.99,0.0233333333333334,0.222666666666667
70,1148.76,-266.01,33.51,56.0350133214699,348.54988064838,81.7584498181987,348.628645367429,23.07,228.24,0.0226666666666667,0.216666666666667
71,1163.775,-246.69,10.49,50.7081674010479,348.997750852352,56.3007244684137,348.409163489133,23.41,231.5,0.0226666666666667,0.217333333333333
72,1178.818,-227.26,-12.66,45.4405068990678,352.255653893589,32.5088186077732,352.217241995492,23.73,234.5,0.0213333333333334,0.2
73,1193.867,-207.88,-35.76,40.301658818008,358.605050996218,38.8427732226094,359.780735318795,24.07,237.73,0.0226666666666667,0.215333333333333
74,1209.022,-188.4,-58.97,35.3724260066691,367.583537444211,40.0856073623089,370.57633919418,24.39,240.76,0.0213333333333334,0.202
75,1224.002,-169.02,-82.08,30.71636361067,379.315531582876,37.4649435802795,378.782755645494,24.73,244.02,0.0226666666666667,0.217333333333335
76,1239.165,-149.52,-105.31,26.3320316603934,393.667495229159,28.1844712122167,395.801983035719,25.1,247.51,0.0246666666666667,0.232666666666665
77,1254.125,-130.16,-128.38,22.3227641158859,409.584737264464,21.1597624762966,402.628606078749,25.41,250.51,0.0206666666666666,0.2
78,1269.278,-110.69,-151.58,18.6112794907203,427.453420152418,17.4573411646377,440.404926820313,25.73,253.52,0.0213333333333334,0.200666666666668
79,1284.337,-91.32,-174.68,15.215802701642,447.352318648289,5.58592490841664,427.116068995711,26.09,256.99,0.024,0.231333333333333
80,1299.391,-71.83,-197.9,12.1048304447227,468.762675135297,10.5546278283533,397.575789015152,26.47,260.44,0.0253333333333333,0.229999999999999
81,1314.48,-52.45,-221,9.29261715709713,490.659149817875,6.81182254261281,470.62039396314,26.78,263.22,0.0206666666666668,0.185333333333335
82,1329.522,-33.1,-244.06,6.73150775686069,514.345724294467,10.5305898366587,524.497950093941,27.19,266.74,0.0273333333333333,0.234666666666665
83,1344.567,-13.62,-267.27,4.38500494226945,538.857345129488,-0.0310597780200119,540.32942376294,27.58,270.01,0.0259999999999998,0.217999999999999
84,1359.706,5.84,-290.46,2.24713548843999,564.143827848892,11.3844277293172,564.325327322892,27.96,273.25,0.0253333333333335,0.216000000000001
85,1374.675,25.27,-313.61,0.302784884532244,590.398243984516,18.0250885837499,597.150814487711,28.39,276.78,0.0286666666666667,0.235333333333332
86,1389.821,44.82,-336.52,358.513060810343,616.977757297619,383.23038800491,615.003978419483,28.81,280.25,0.0279999999999999,0.231333333333335
87,1404.879,63.25,-357.73,356.961420444591,642.1628369814,354.941864531956,657.964036434721,29.21,283.53,0.0266666666666668,0.218666666666665
88,1419.909,83.13,-380.6,355.415023272684,669.522557349639,354.48742365019,674.384116280098,29.61,286.78,0.0266666666666666,0.216666666666667
89,1435.012,102.97,-403.42,353.997701151466,697.534090708117,354.617952822005,707.576435849237,30.03,290.29,0.0280000000000001,0.234000000000003
