,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
1031,15745.313,-432.48,-526.55,18.6573079871318,765.128328648208,57.4902121263926,1113.88841797865,-187.71,198.37,0.099333333333332,0.183333333333333
1032,15759.605,-404.86,-520.18,16.8643499683809,753.860307749387,30.0297996122063,736.779267128003,-186.16,201.26,0.103333333333334,0.192666666666666
1033,15775.616,-373.08,-512.84,14.7268436066165,741.313054046669,40.3583014596248,759.53373877307,-184.63,204.12,0.102,0.190666666666668
1034,15789.866,-345.43,-506.46,12.8224493624571,731.850542392366,23.746645724688,777.356227391159,-183.01,207.14,0.108,0.201333333333332
1035,15806.059,-313.82,-499.16,10.5868985116127,722.051198461716,28.765597651585,467.866806671784,-181.16,210.6,0.123333333333333,0.230666666666667
1036,15822.133,-282.21,-491.86,8.28170519510471,712.995233925164,19.7887866974788,529.292556573028,-179.51,213.7,0.11,0.206666666666666
1037,15838.314,-250.67,-484.58,5.93887001597174,705.53671945548,-5.74225196457103,674.158076260073,-177.67,217.17,0.122666666666667,0.231333333333333
1038,15854.461,-221.07,-477.75,3.69064758746171,699.400459608085,25.7279758626931,245.247169980287,-176.05,220.2,0.107999999999998,0.202
1039,15869.504,-189.33,-470.42,1.22657027339739,693.728958167381,-21.0444607997192,720.562690164395,-174.48,223.15,0.104666666666668,0.196666666666668
1040,15884.728,-161.83,-464.07,359.080264991959,690.268932228592,343.74752521757,722.090415688655,-172.91,226.11,0.104666666666666,0.197333333333334
1041,15900.694,-130.12,-456.75,356.555812902769,686.960793131602,401.291778272741,752.256475308138,-171.39,228.97,0.101333333333334,0.190666666666666
1042,15915.797,-100.67,-449.95,354.230960719822,685.743171894551,366.950770956803,711.681189431329,-169.6,232.32,0.119333333333333,0.223333333333333
1043,15930.932,-71.18,-443.14,351.89530702031,685.617873527229,339.500514483799,704.404997977691,-167.84,235.63,0.117333333333333,0.220666666666667
1044,15945.98,-41.65,-436.32,349.54943485969,686.487611250196,336.548449748652,568.682436529652,-166.17,238.78,0.111333333333334,0.21
1045,15961.092,-12.19,-429.52,347.24130449915,688.807472665621,357.833124387407,582.416242647634,-164.31,242.28,0.123999999999999,0.233333333333333
